Birth Card,AGE,Mercury,Venus,Mars,Jupiter,Saturn ,Uranus,Neptune,LONG RANGE,PLUTO,RESULT,SUPPORT,DEVELOPMENT
4♦,25,8♠,2♣,A♥,5♠,Q♥,5♣,10♥,5♠,9♠,7♥,A♥,K♣
4♦,26,9♣,4♣,5♠,6♠,A♠,7♠,K♠,9♣,9♦,A♣,3♥,2♠
4♦,27,2♠,2♣,8♥,K♠,5♦,2♥,3♣,4♣,6♠,Q♠,Q♣,6♠
4♦,28,2♥,5♠,9♣,J♠,7♣,Q♦,2♣,6♦,8♣,6♣,10♦,9♠
4♦,29,6♦,10♣,J♠,9♦,K♥,8♣,2♦,6♥,6♠,Q♣,Q♠,K♥
4♦,30,3♦,3♥,K♣,8♦,6♥,J♣,9♦,2♦,4♣,6♣,8♦,2♣
4♦,31,5♠,9♥,8♦,J♥,A♦,4♣,A♣,K♥,5♣,J♦,7♣,A♠
4♦,32,7♦,7♣,J♥♥,A,6♥,2♥,4♣,3♥,J♣,10♠,J♠,7♥
4♦,33,K♦,Q♦,A♥,8♠,6♠,K♠,A♠,6♣,2♥,2♣,10♣,8♥
4♦,34,6♥,3♣,8♦,A♦,4♠,5♦,5♥,J♦,7♠,9♦,4♠,7♠
4♦,35,6♦,9♣,7♥,6♣,8♣,Q♠,A♦,7♦,10♣,6♠,4♥,K♦
4♦,36,7♣,9♥,6♣,5♠,K♣,10♣,10♥,10♠,5♣,Q♦,10♠,3♣
4♦,37,8♠,4♠,5♠,4♣,9♦,8♥,10♣,7♥,Q♣,Q♥,Q♥,5♦
4♦,38,6♥,5♦,7♥,4♠,10♦,9♣,8♥,4♠,3♦,2♣,9♣,9♦
4♦,39,3♠,4♣,4♠,7♦,A♥,5♣,2♦,5♣,10♠,5♥,6♦,Q♦
4♦,40,3♣,5♦,7♦,6♦,J♥,10♣,8♥,8♥,2♥,7♠,3♠,3♦
4♦,41,5♠,2♠,10♦,8♣,4♥,8♦,6♦,K♥,A♦,9♠,J♦,6♥
4♦,42,K♣,Q♠,8♣,10♠,7♣,3♠,A♥,3♣,6♣,6♦,J♦,4♦
4♦,43,4♣,8♥,7♠,9♥,J♣,J♥,10♠,6♥,2♣,A♣,10♥,5♣
4♦,44,5♦,6♦,9♥,8♦,9♦,10♦,J♦,4♠,Q♦,K♦,5♠,5♥
4♦,45,2♠,8♥,6♣,6♠,Q♥,10♣,8♦,Q♣,K♠,3♥,4♦,4♦
4♦,46,J♥,6♦,6♠,2♥,9♠,7♠,3♦,7♣,6♥,A♦,5♥,5♠
4♦,47,8♦,2♦,Q♣,3♥,5♦,4♣,7♠,8♦,J♣,7♦,5♣,10♥
4♦,48,K♦,A♠,6♠,2♦,5♠,9♣,4♣,8♥,6♣,4♣,2♣,J♣
4♦,49,6♦,6♥,2♦,K♥,3♥,6♣,J♦,A♦,Q♥,4♠,6♥,J♦
4♦,50,9♥,10♠,7♥,4♠,5♣,8♥,K♥,A♣,K♣,A♥,3♦,3♠
4♦,51,3♠,6♥,4♠,Q♣,7♣,8♦,8♥,2♦,9♦,2♣,Q♦,6♦
4♦,52,A♦,2♥,2♦,9♠,7♠,K♦,8♦,9♠,6♦,8♣,9♦,9♣
4♦,53,J♦,9♣,K♠,4♠,2♥,4♥,5♠,7♠,K♦,7♥,5♦,Q♥
4♦,54,7♠,A♠,2♦,6♣,7♦,5♦,J♥,K♦,5♣,3♥,3♣,10♠
4♦,55,K♦,Q♠,6♣,J♠,10♦,5♣,10♥,8♦,3♠,K♠,K♦,4♥
4♦,56,3♣,6♦,J♠,10♠,4♥,9♠,8♥,J♦,K♣,Q♦,7♠,4♠
4♦,57,J♣,K♠,9♣,2♥,6♦,4♣,A♠,9♣,9♠,3♥,8♥,10♣
4♦,58,8♣,9♦,5♣,7♠,J♦,4♠,9♣,K♠,Q♥,2♠,7♥,J♠
4♦,59,6♣,10♥,7♠,8♠,A♥,Q♠,4♠,4♠,K♦,6♥,A♠,7♣
4♦,60,K♠,J♦,A♣,J♣,Q♦,9♠,K♣,A♣,Q♠,10♦,2♣,8♦
4♦,61,7♥,2♦,Q♣,7♣,10♠,8♥,Q♦,4♥,K♥,4♥,K♥,Q♠
4♦,62,9♣,J♣,J♦,2♦,6♠,3♥,8♥,5♠,9♥,4♣,9♠,10♦
4♦,63,3♣,K♣,2♦,J♠,7♣,9♥,9♠,7♠,J♥,7♠,6♠,Q♣
4♦,64,A♣,5♥,K♦,8♠,A♦,10♣,J♠,A♠,7♦,6♠,2♠,3♥
4♦,65,5♠,3♥,8♥,Q♠,2♣,7♦,Q♦,2♦,10♦,6♥,K♣,A♥
4♦,66,Q♣,6♣,8♦,K♥,9♥,9♦,Q♠,6♣,3♦,6♠,8♠,A♦
4♦,67,3♣,8♣,K♥,7♠,K♣,3♦,10♥,9♥,5♣,5♥,6♣,2♦
4♦,68,J♦,2♣,7♠,5♦,K♠,6♥,A♣,5♦,3♦,A♠,2♦,6♣
4♦,69,6♥,4♣,8♦,A♥,10♣,2♠,7♦,J♥,K♦,J♠,A♦,8♠
4♦,70,8♠,2♣,A♥,5♠,Q♥,5♣,10♥,K♦,9♠,7♥,A♥,K♣
4♦,71,9♣,4♣,5♠,6♠,A♠,7♠,K♠,Q♠,9♦,2♥,3♥,2♠
4♦,72,2♠,2♣,8♥,K♠,5♦,A♣,3♣,6♣,6♠,Q♠,Q♣,6♠
4♦,73,A♣,5♠,9♣,J♠,7♣,Q♦,2♣,J♠,8♣,6♣,10♦,9♠
4♦,74,6♦,1O♣,J♠,9♦,K♥,8♣,2♦,10♦,6♠,Q♣,Q♠,K♥
4♦,75,3♦,3♥,K♣,8♦,6♥,J♣,9♦,5♣,4♣,6♣,8♦,2♣
4♦,76,5♠,7♦,8♦,J♥,A♦,4♣,2♣,10♥,5♣,J♦,7♣,A♠
4♦,77,9♥,7♣,J♥,A♥,6♥,A♣,4♣,3♣,J♣,10♠,J♠,7♥
4♦,78,K♦,Q♦,A♥,8♠,6♠,K♠,A♠,6♦,A♣,2♣,10♣,8♥
4♦,79,6♥,3♣,8♦,A♦,4♠,5♦,5♥,J♠,7♠,9♦,4♠,7♠
4♦,80,6♦,9♣,7♥,6♣,8♣,Q♠,A♦,10♠,10♣,6♠,4♥,K♦
4♦,81,7♣,7♦,6♣,5♠,K♣,10♣,10♥,4♥,5♣,Q♦,10♠,3♣
4♦,82,8♠,4♠,5♠,4♣,9♦,8♥,10♣,9♠,Q♣,Q♥,Q♥,5♦
4♦,83,6♥,5♦,7♥,4♠,10♦,9♣,8♥,8♥,3♦,2♣,9♣,9♦
4♦,84,3♠,4♣,4♠,9♥,A♥,5♣,2♦,J♣,10♠,5♥,6♦,Q♦
4♦,85,3♣,5♦,9♥,6♦,J♥,10♣,8♥,K♠,A♣,7♠,3♠,3♦
4♦,86,5♠,2♠,10♦,8♣,4♥,8♦,6♦,9♣,A♦,9♠,J♦,6♥
4♦,87,K♣,Q♠,8♣,10♠,7♣,3♠,A♥,A♣,6♠,6♣,J♣,4♣
4♦,88,4♣,8♥,7♠,7♦,J♣,J♥,10♠,6♦,2♣,2♥,10♥,5♣
4♦,89,5♦,6♦,7♦,8♦,9♦,10♦,J♦,4♣,Q♦,K♦,5♠,5♥
4♦,90,2♠,8♥,6♣,6♠,Q♥,10♣,8♦,A♠,K♠,3♥,4♦,4♦
4♠,0,10♥,10♦,8♠,A♥,A♦,Q♦,5♥,10♥,3♣,3♠,4♠,4♠
4♠,1,7♣,K♠,Q♣,2♥,10♦,Q♥,4♣,10♦,Q♦,2♣,4♥,10♣
4♠,2,8♣,J♦,10♠,4♦,8♦,2♦,Q♣,8♠,3♥,5♦,10♠,J♠
4♠,3,7♠,J♠,4♦,K♦,A♠,6♠,2♦,A♥,5♠,9♣,Q♥,7♣
4♠,4,K♠,8♣,A♣,7♣,3♠,Q♦,3♣,A♦,6♠,9♠,9♣,8♦
4♠,5,5♣,8♥,K♥,K♣,A♥,5♥,3♠,Q♦,3♦,A♦,6♦,Q♠
4♠,6,Q♣,7♣,8♦,8♥,9♦,2♣,5♥,5♥,9♥,Q♥,3♠,10♦
4♠,7,10♥,3♣,8♥,8♠,K♣,9♥,Q♦,7♣,J♥,4♦,J♦,Q♣
4♠,8,A♣,4♠,5♠,K♦,7♥,6♣,8♠,K♠,7♦,9♦,J♣,3♥
4♠,9,10♣,2♣,K♦,6♠,6♥,7♦,3♠,Q♣,9♠,9♣,10♥,A♥
4♠,10,K♥,7♠,2♠,3♦,9♥,J♦,6♠,2♥,6♦,9♦,5♠,A♦
4♠,11,10♥,8♣,3♦,4♦,3♣,6♦,J♠,10♦,10♠,4♥,4♦,2♦
4♠,12,8♦,6♥,4♦,J♣,K♠,9♣,A♣,Q♥,6♦,4♣,5♥,6♣
4♠,13,9♣,Q♥,2♠,A♠,6♣,5♦,7♦,4♣,5♠,8♠,5♣,8♠
4♠,14,K♦,6♥,A♠,10♣,3♥,10♠,J♠,8♣,Q♦,5♣,4♣,K♣
4♠,15,Q♣,Q♥,10♣,9♦,4♣,4♦,K♠,J♦,J♦,2♥,6♥,2♠
4♠,16,5♦,6♥,5♥,K♠,J♣,A♣,10♥,10♠,9♦,6♠,3♦,6♠
4♠,17,A♣,10♣,Q♣,8♠,K♣,3♠,6♥,4♦,8♣,7♠,Q♦,9♠
4♠,18,10♦,6♣,8♠,J♦,3♦,8♣,8♥,8♦,9♦,K♥,9♦,K♥
4♠,19,6♦,2♣,3♣,2♠,9♣,7♣,J♦,2♦,Q♥,7♠,5♦,2♣
4♠,20,10♣,7♦,2♠,J♥,7♥,Q♥,2♥,Q♣,10♠,8♦,3♣,A♠
4♠,21,9♥,K♣,J♥,A♠,9♣,A♣,Q♥,7♠,7♣,A♥,K♦,7♥
4♠,22,5♠,3♠,A♠,K♦,9♦,K♠,4♣,J♠,A♣,6♥,7♠,8♥
4♠,23,9♣,10♥,2♠,7♥,2♦,J♣,4♥,4♦,4♦,J♦,8♥,7♠
4♠,24,10♦,Q♣,5♣,7♠,8♣,6♠,7♥,K♦,6♣,9♦,7♥,K♦
4♠,25,K♣,7♦,7♠,10♣,3♣,6♣,J♠,A♠,10♠,3♠,A♠,3♣
4♠,26,K♦,2♦,10♣,Q♥,J♦,5♥,6♣,6♠,K♥,3♥,2♣,5♦
4♠,27,9♣,J♣,5♣,2♦,9♠,Q♣,5♥,2♦,6♦,6♥,K♥,9♦
4♠,28,Q♠,Q♥,2♦,9♥,A♠,10♠,8♥,K♠,A♥,4♥,9♠,Q♦
4♠,29,10♥,J♣,9♥,10♦,J♥,6♣,5♥,8♦,A♣,4♦,6♠,3♦
4♠,30,10♣,5♦,9♠,8♣,A♦,2♠,10♦,A♣,7♥,Q♦,2♠,6♥
4♠,31,3♣,6♠,8♣,A♥,K♣,Q♠,A♠,7♣,9♦,7♠,K♣,4♣
4♠,32,Q♥,5♥,4♦,7♦,7♣,J♥,A♥,3♠,6♥,2♥,8♠,5♣
4♠,33,J♣,10♦,7♦,2♠,J♦,9♠,8♦,Q♦,3♠,5♠,6♣,5♥
4♠,34,5♦,5♥,7♠,9♦,3♥,6♣,2♠,3♣,K♠,2♣,2♦,4♦
4♠,35,J♥,10♦,9♦,A♣,Q♦,4♦,6♦,5♣,9♣,7♥,A♦,5♠
4♠,36,2♠,8♥,K♠,2♣,J♣,Q♥,4♦,8♥,7♣,9♥,A♥,10♥
4♠,37,5♠,4♣,9♦,8♥,10♣,Q♣,Q♥,K♥,7♠,6♥,3♥,J♣
4♠,38,10♦,9♣,8♥,3♦,2♣,7♠,8♦,K♣,3♥,2♦,Q♣,J♦
4♠,39,7♦,A♥,5♣,2♦,10♠,5♥,3♦,A♥,3♣,A♠,10♦,3♠
4♠,40,Q♠,9♣,2♦,K♥,K♣,2♠,5♥,5♥,J♦,6♥,Q♠,6♦
4♠,41,7♥,A♣,8♥,Q♦,4♦,5♠,2♠,3♠,10♦,8♣,8♦,9♣
4♠,42,8♦,Q♣,K♠,2♦,A♣,A♦,10♣,Q♣,5♠,5♣,7♣,Q♥
4♠,43,4♦,4♣,8♥,7♠,9♥,J♣,J♥,7♣,10♠,2♣,J♠,10♠
4♠,44,5♠,6♠,7♠,8♠,9♠,10♠,J♠,8♦,Q♠,K♠,10♣,4♥
4♠,45,10♥,10♦,8♠,A♥,A♦,Q♦,5♥,8♥,3♣,3♠,4♠,4♠
4♠,46,7♣,K♠,Q♣,A♣,10♦,Q♥,4♣,9♦,Q♦,2♣,4♥,10♣
4♠,47,8♣,J♦,10♠,4♦,8♦,2♦,Q♣,2♣,3♥,5♦,10♠,J♠
4♠,48,7♠,J♠,4♦,K♦,A♠,6♠,2♦,5♥,5♠,9♣,Q♥,7♣
4♠,49,K♠,8♦,2♥,7♣,3♠,Q♦,3♣,10♥,6♠,9♠,9♣,8♦
4♠,50,5♣,8♥,K♥,K♣,A♥,5♥,3♠,3♣,3♦,A♦,6♦,Q♠
4♠,51,Q♣,7♣,8♦,8♥,9♦,2♣,5♥,8♥,7♦,Q♥,3♠,10♦
4♠,52,10♥,3♣,8♥,8♠,K♣,7♦,Q♦,8♠,J♥,4♦,J♦,Q♣
4♠,53,2♥,4♥,5♠,K♦,7♥,6♣,8♠,K♣,9♥,9♦,J♣,3♥
4♠,54,10♣,2♣,K♦,6♠,6♥,9♥,3♠,9♥,9♠,9♣,10♥,A♥
4♠,55,K♥,7♠,2♠,3♦,7♦,J♦,6♠,Q♦,6♦,9♦,5♠,A♦
4♠,56,10♥,8♣,3♦,4♦,3♣,6♦,J♠,A♣,10♠,4♥,4♦,2♦
4♠,57,8♦,6♥,4♦,J♣,K♠,9♣,2♥,4♥,6♦,4♣,5♥,6♣
4♠,58,9♣,Q♥,2♠,A♠,6♣,5♦,9♥,5♠,5♠,8♠,5♣,8♠
4♠,59,K♦,6♥,A♠,10♣,3♥,10♠,J♠,K♦,Q♦,5♣,4♣,K♣
4♠,60,Q♣,Q♥,10♣,9♦,4♣,4♦,K♠,7♥,J♦,A♣,6♥,2♠
4♠,61,5♦,6♥,5♥,K♠,J♣,2♥,10♥,6♣,9♦,6♠,3♦,6♠
4♠,62,2♥,10♣,Q♣,8♠,K♣,3♠,6♥,8♠,8♣,7♠,Q♦,9♠
4♠,63,10♦,6♣,8♠,J♦,3♦,8♣,8♥,10♣,9♦,K♥,9♦,K♥
4♠,64,6♦,2♣,3♣,2♠,9♣,7♣,J♦,2♣,Q♥,7♠,5♦,2♣
4♠,65,10♣,9♥,2♠,J♥,7♥,Q♥,A♣,K♦,10♠,8♦,3♣,A♠
4♠,66,7♦,K♣,J♥,A♠,9♣,2♥,Q♥,6♠,7♣,A♥,K♦,7♥
4♠,67,5♠,3♠,A♠,K♦,9♦,K♠,4♣,6♥,2♥,6♥,7♠,8♥
4♠,68,9♣,10♥,2♠,7♥,2♦,J♣,4♥,7♦,4♦,J♦,8♥,7♠
4♠,69,10♦,Q♣,5♣,7♠,8♣,6♠,7♥,3♠,6♣,9♦,7♥,K♦
4♠,70,K♣,9♥,7♠,10♣,3♣,6♣,J♠,K♥,10♠,3♠,A♠,3♣
4♠,71,K♦,2♦,10♣,Q♥,J♦,5♥,6♣,7♠,K♥,3♥,2♣,5♦
4♠,72,9♣,J♣,5♣,2♦,9♠,Q♣,5♥,2♠,6♦,6♥,K♥,9♦
4♠,73,Q♠,Q♥,2♦,7♦,A♠,10♠,8♥,3♦,A♥,4♥,9♠,Q♦
4♠,74,10♥,J♣,7♦,10♦,J♥,6♣,5♥,9♥,2♥,4♦,6♠,3♦
4♠,75,10♣,5♦,9♠,8♣,A♦,2♠,10♦,J♦,7♥,Q♦,2♠,6♥
4♠,76,3♣,6♠,8♣,A♥,K♣,Q♠,A♠,6♠,9♦,7♠,K♣,4♣
4♠,77,Q♥,5♥,4♦,9♥,7♣,J♥,A♥,10♥,6♥,A♣,8♠,5♣
4♠,78,J♣,10♦,9♥,2♠,J♦,9♠,8♦,8♣,3♠,5♠,6♣,5♥
4♠,79,5♦,5♥,7♠,9♦,3♥,6♣,2♠,3♦,K♠,2♣,2♦,4♦
4♠,80,J♥,10♦,9♦,2♥,Q♦,4♦,6♦,4♦,9♣,7♥,A♦,5♠
4♠,81,2♠,8♥,K♥,2♣,J♣,Q♥,4♦,3♣,7♣,7♦,A♥,10♥
4♠,82,5♠,4♣,9♦,8♥,10♣,Q♣,Q♥,6♦,7♠,6♥,3♥,J♣
4♠,83,10♦,9♣,8♥,3♦,2♣,7♠,8♦,J♠,3♥,2♦,Q♣,J♦
4♠,84,9♥,A♥,5♣,2♦,10♠,5♥,3♦,8♦,3♣,A♠,10♦,3♠
4♠,85,Q♠,9♣,2♦,K♥,K♣,2♠,5♥,6♥,J♦,6♥,Q♠,6♦
4♠,86,7♥,2♥,8♥,Q♦,4♦,5♠,2♠,4♦,10♦,8♣,8♦,9♣
4♠,87,8♦,Q♣,K♠,2♦,2♥,A♦,10♣,J♣,5♠,5♣,7♣,Q♥
4♠,88,4♦,4♣,8♥,7♠,7♦,J♣,J♥,K♠,10♠,2♣,J♠,10♠
4♠,89,5♠,6♠,7♠,8♠,9♠,10♠,J♠,9♣,Q♠,K♠,10♣,4♥
4♠,90,10♥,10♦,8♠,A♥,A♦,Q♦,5♥,A♣,3♣,3♠,4♠,4♠
5♥,0,3♣,3♠,9♥,7♣,5♦,Q♠,J♣,3♣,9♦,7♠,5♥,5♥
5♥,1,K♣,7♥,2♦,2♠,9♣,4♠,7♣,3♠,K♠,Q♣,5♣,4♦
5♥,2,J♥,3♠,2♠,2♥,6♠,8♥,Q♦,9♥,3♦,A♥,4♣,5♠
5♥,3,7♣,A♦,10♦,Q♣,3♣,6♥,8♥,7♣,10♥,7♦,6♥,10♥
5♥,4,7♠,2♣,2♠,A♦,4♦,6♦,6♥,5♦,2♦,K♥,3♦,J♣
5♥,5,3♠,3♦,A♦,9♠,Q♣,2♦,J♣,Q♠,9♣,4♥,Q♦,J♦
5♥,6,9♥,Q♥,A♠,4♥,4♣,7♥,9♠,J♣,8♠,3♥,9♦,3♠
5♥,7,J♦,3♦,4♥,10♦,J♠,7♣,7♥,K♣,5♦,K♥,5♦,6♦
5♥,8,A♥,2♥,A♦,6♠,8♥,7♠,7♣,7♥,3♠,8♣,3♣,9♣
5♥,9,J♣,6♦,K♠,4♥,2♥,10♠,4♦,2♦,7♠,A♠,K♦,Q♥
5♥,10,8♥,2♣,A♦,2♦,7♦,3♣,J♥,2♠,4♣,Q♣,7♠,10♠
5♥,11,7♠,8♦,2♦,10♣,Q♠,4♣,5♠,9♣,J♦,K♠,8♥,4♥
5♥,12,K♦,3♠,10♣,Q♥,10♠,6♠,7♥,4♠,8♠,9♦,7♥,4♠
5♥,13,10♥,K♠,6♦,2♥,3♠,6♥,2♣,7♣,6♠,Q♣,A♠,10♣
5♥,14,8♣,5♦,4♣,8♥,J♣,4♥,6♦,J♥,9♣,K♣,2♣,J♠
5♥,15,2♦,5♠,8♥,6♣,3♥,8♦,4♥,3♠,7♠,3♦,K♥,7♣
5♥,16,K♠,J♣,A♣,10♥,9♦,6♠,8♠,2♠,8♦,Q♠,9♠,8♦
5♥,17,A♠,A♦,10♦,J♠,Q♥,7♥,9♦ ,2♥,9♠,10♠,6♠,Q♠
5♥,18,6♦,10♥,J♣,A♦,2♠,Q♣,7♥,6♠,9♥,6♥,2♠,10♦
5♥,19,K♦,8♠,A♦,10♣,J♠,9♥,6♠,8♥,J♥,8♥,K♣,Q♣
5♥,20,A♣,5♣,7♠,6♣,A♥,4♠,10♣,Q♦,7♦,2♠,8♠,3♥
5♥,21,4♦,Q♣,6♣,8♦,K♥,7♦,9♦,7♣,Q♠,3♦,6♣,A♥
5♥,22,10♦,2♦,7♣,9♠,9♥,5♦,8♦,A♦,Q♦,2♠,2♦,A♦
5♥,23,K♦,8♣,9♠,8♥,8♠,Q♦,5♠,10♦,4♣,5♣,A♦,2♦
5♥,24,J♣,K♥,8♥,3♣,K♠,3♦,A♣,Q♣,Q♦,2♣,A♥,6♣
5♥,25,3♦,6♥,7♣,3♥,4♠,K♣,7♦,3♣,7♠,10♣,3♥,8♠
5♥,26,6♣,K♥,3♥,4♦,9♣,4♣,5♠,6♥,6♠,A♠,Q♣,K♣
5♥,27,6♦,6♥,4♦,2♠,2♣,8♥,K♠,8♥,5♦,2♥,10♦,2♠
5♥,28,K♣,K♥,7♥,K♠,3♣,A♣,K♦,7♠,2♠,8♦,Q♠,6♠
5♥,29,A♣,4♦,6♦,10♣,J♠,9♦,K♥,2♣,8♣,2♦,8♦,9♠
5♥,30,3♠,4♠,10♣,5♦,9♠,8♣,A♦,2♠,2♠,10♦,7♣,K♥
5♥,31,Q♦,Q♣,8♠,7♣,3♦,10♥,5♦,A♦,6♥,2♦,J♠,2♣
5♥,32,4♦,7♦,7♣,J♥,A♥,6♥,2♥,4♦,4♣,J♣,10♣,A♠
5♥,33,9♥,J♠,J♥,3♥,3♦,A♣,6♥,6♦,10♥,Q♥,4♠,7♥
5♥,34,7♠,9♦,3♥,6♣,2♠,K♠,2♣,6♥,A♣,K♥,4♥,8♥
5♥,35,3♦,K♦,7♣,A♥,4♥,3♣,5♣,3♠,8♥,5♦,10♠,7♠
5♥,36,3♠,6♦,A♠,2♦,8♣,8♦,A♥,3♦,4♠,2♠,Q♥,K♦
5♥,37,J♠,7♦,2♦,4♦,8♠,4♠,5♠,A♦,4♣,9♦,9♣,3♣
5♥,38,6♣,4♥,4♦,6♥,5♦,7♥,4♠,9♠,10♦,9♣,6♦,5♦
5♥,39,3♦,3♣,A♠,4♥,Q♠,6♦,7♥,Q♣,Q♦,K♥,3♠,9♦
5♥,40,J♦,6♥,4♥,9♥,3♥,4♣,A♦,2♦,Q♥,5♣,J♦,Q♦
5♥,41,K♦,3♣,9♥,3♠,J♥,4♠,7♥,J♣,A♣,8♥,J♣,3♦
5♥,42,4♦,K♣,Q♠,8♣,10♠,7♣,3♠,9♥,A♥,6♠,10♥,6♥
5♥,43,8♠,8♦,8♣,Q♥,J♠,J♦,3♥,Q♥,2♠,2♦,5♠,4♣
5♥,44,6♥,7♥,8♥,7♦,10♥,J♥,Q♥,A♠,K♥,2♥,4♦,5♣
5♥,45,3♣,3♠,7♦,7♣,5♦,Q♠,J♣,4♥,9♦,7♠,5♥,5♥
5♥,46,K♣,7♥,2♦,2♠,9♣,4♠,7♣,4♣,K♠,Q♣,5♣,4♦
5♥,47,J♥,3♠,2♠,A♣,6♠,8♥,Q♦,7♥,3♦,A♥,4♣,5♠
5♥,48,7♣,A♦,10♦,O♣,3♣,6♥,8♥,9♠,10♥,9♥,6♥,10♥
5♥,49,7♠,2♣,2♠,A♦,4♦,6♦,6♥,J♦,2♦,K♥,3♦,J♣
5♥,50,3♠,3♦,A♦,9♠,Q♣,2♦,J♣,3♦,9♣,4♥,Q♦,J♦
5♥,51,7♦,Q♥,A♠,4♥,4♣,7♥,9♠,4♥,8♠,3♥,9♦,3♠
5♥,52,J♦,3♦,4♥,10♦,J♠,7♣,7♥,10♦,5♦,K♥,5♦,6♦
5♥,53,A♥,A♣,A♦,6♠,8♥,7♠,7♣,J♠,3♠,8♣,3♣,9♣
5♥,54,J♣,6♦,K♠,4♥,A♣,10♠,4♦,7♣,7♠,A♠,K♦,Q♥
5♥,55,8♥,2♣,A♦,2♦,9♥,3♣,J♥,7♥,4♣,Q♣,7♠,10♠
5♥,56,7♠,8♦,2♦,10♣,Q♠,4♣,5♠,A♥,J♦,K♠,8♥,4♥
5♥,57,K♦,3♠,10♣,Q♥,10♠,6♠,7♥,2♥,8♠,9♦,7♥,4♠
5♥,58,10♥,K♠,6♦,A♣,3♠,6♥,2♣,A♦,6♠,Q♣,A♠,10♣
5♥,59,8♣,5♦,4♣,8♥,J♣,4♥,6♦,6♠,9♣,K♣,2♣,J♠
5♥,60,2♦,5♠,8♥,6♣,3♥,8♦,4♥,8♥,7♠,3♦,K♥,7♣
5♥,61,K♠,J♣,2♥,10♥,9♦,6♠,8♠,7♠,8♦,Q♠,9♠,8♦
5♥,62,A♠,A♦,10♦,J♠,Q♥,7♥,9♦,7♣,9♠,10♠,6♠,Q♠
5♥,63,6♦,10♥,J♣,A♦,2♠,Q♣,7♥,J♣,7♦,6♥,2♠,10♦
5♥,64,K♦,8♠,A♦,10♣,J♠,7♦,6♠,6♦,J♥,8♥,K♣,Q♣
5♥,65,2♥,5♣,7♠,6♣,A♥,4♠,10♣,K♠,9♥,2♠,8♠,3♥
5♥,66,4♦,Q♣,6♣,8♦,K♥,9♥,9♦,4♥,Q♠,3♦,6♣,A♥
5♥,67,10♦,2♦,7♣,9♠,7♦,5♦,8♦,2♥,Q♦,2♠,2♦,A♦
5♥,68,K♦,8♣,9♠,8♥,8♠,Q♦,5♠,10♠,4♣,5♣,A♦,2♦
5♥,69,J♣,K♥,8♥,3♣,K♠,3♦,2♥,4♦,Q♦,2♣,A♥,6♣
5♥,70,3♦,6♥,7♣,3♥,4♠,K♣,9♥,8♥,7♠,10♣,3♥,8♠
5♥,71,6♣,K♥,3♥,4♦,9♣,4♣,5♠,2♣,6♠,A♠,Q♣,K♣
5♥,72,6♦,6♥,4♦,2♠,2♣,8♥,K♠,A♦,5♦,A♣,10♦,2♠
5♥,73,K♣,K♥,7♥,K♠,3♣,2♥,K♦,2♦,2♠,8♦,Q♠,6♠
5♥,74,2♥,4♦,6♦,10♣,J♠,9♦,K♥,7♦,8♣,2♦,8♦,9♠
5♥,75,3♠,4♠,10♣,5♦,9♠,8♣,A♦,3♣,2♠,10♦,7♣,K♥
5♥,76,Q♦,Q♣,8♠,7♣,3♦,10♥,5♦,J♥,6♥,2♦,J♠,2♣
5♥,77,4♦,9♥,7♣,J♥,A♥,6♥,A♣,7♠,4♣,J♣,10♣,A♠
5♥,78,7♦,J♠,J♥,3♥,3♦,2♥,6♥,8♦,10♥,Q♥,4♠,7♥
5♥,79,7♠,9♦,3♥,6♣,2♠,K♠,2♣,2♦,2♥,K♥,4♥,8♥
5♥,80,3♦,K♦,7♣,A♥,4♥,3♣,5♣,10♣,8♥,5♦,10♠,7♠
5♥,81,3♠,6♦,A♠,2♦,8♣,8♦,A♥,Q♠,4♠,2♠,Q♥,K♦
5♥,82,J♠,9♥,2♦,4♦,8♠,4♠,5♠,4♣,4♣,9♦,9♣,3♣
5♥,83,6♣,4♥,4♦,6♥,5♦,7♥,4♠,5♠,10♦,9♣,6♦,5♦
5♥,84,3♦,3♣,A♠,4♥,Q♠,6♦,7♥,K♦,Q♦,K♥,3♠,9♦
5♥,85,J♦,6♥,4♥,7♦,3♥,4♣,A♦,3♠,Q♥,5♣,J♦,Q♦
5♥,86,K♦,3♣,7♦,3♠,J♥,4♠,7♥,10♣,2♥,8♥,J♣,3♦
5♥,87,4♦,K♣,Q♠,8♣,10♠,7♣,3♠,Q♥,A♥,6♠,10♥,6♥
5♥,88,8♠,8♦,8♣,Q♥,J♠,J♦,3♥,10♠,2♠,2♦,5♠,4♣
5♥,89,6♥,7♥,8♥,9♥,10♥,J♥,Q♥,6♠,K♥,A♣,4♦,5♣
5♥,90,3♣,3♠,9♥,7♣,5♦,Q♠,J♣,7♥,9♦,7♠,5♥,5♥
5♣,0,3♦,A♠,7♥,7♦,5♠,J♥,9♣,3♦,9♠,2♥,5♣,5♣
5♣,1,K♦,J♦,7♦,J♠,3♣,8♦,10♥,A♠,5♦,8♥,4♣,5♥
5♣,2,8♠,A♠,A♦,K♣,6♦,4♥,J♠,7♥,K♠,10♦,6♥,4♦
5♣,3,J♥,J♦,K♣,A♣,2♠,7♥,9♦,7♦,Q♦,3♥,3♦,5♠
5♣,4,J♠,A♥,Q♠,10♦,K♦,3♦,7♥,5♠,5♠,9♥,Q♦,10♥
